OBJECTNUMMER;SELECTIE;FILTER;Naam;Sportvoorziening;Locatie;Omheining;Ondergrond;Verlichting;Omschrijving;Oppervlak;Foto;COORDS;CENTERLNG1;CENTERLAT1;CENTERLNG2;CENTERLAT2;
1;"BASKETBAL";"";"NIEUWENDAM";"Basketbal";"Speeltuin";"Geen";"Asfalt";"Ja";"Basketbalpaal, speeltuin Nieuwendam";507;"Nieuwendam_1.jpg";"POINT(4.950368 52.388913)";4.950368;52.388913;4,950368;52,388913;
2;"BASKETBAL";"";"CORVERSBOSSTRAAT";"Basketbal";"Schoolplein";"Geen";"Stoeptegels";"Nee";"Basketbalveld";392;"Corversbosstraat_1.jpg";"POINT(4.95999 52.39195)";4.95999;52.39195;4,95999;52,39195;
3;"BASKETBAL";"";"BREEHORNSTRAAT";"Basketbal";"Schoolplein";"Ballenvangers";"Asfalt";"Nee";"Basketbalveld";280;"Breehornstraat.jpg";"POINT(4.958618 52.394021)";4.958618;52.394021;4,958618;52,394021;
4;"BASKETBAL";"";"MARKENGOUW";"Basketbal";"Straat";"Ballenvangers";"Asfalt";"Nee";"Basketbalveld met belijning, 1 lange zijde spijlenhekwerk, zitbanken naast veld";320;"Markengouw.jpg";"POINT(4.955826 52.398712)";4.955826;52.398712;4,955826;52,398712;
5;"BASKETBAL";"";"WILDRIJKSTRAAT";"Basketbal";"Schoolplein";"Geen";"Stoeptegels";"Nee";"Basketbalveld, zitbanken";317;"Wildrijkstraat.jpg";"POINT(4.955972 52.397229)";4.955972;52.397229;4,955972;52,397229;
6;"BASKETBAL";"";"DUINPAN";"Basketbal";"Speeltuin";"Geen";"Asfalt";"Nee";"Basketbalveld, speeltuin De Duinpan, zitbanken naast veld";386;"Duinpan.jpg";"POINT(4.952387 52.395724)";4.952387;52.395724;4,952387;52,395724;
7;"BASKETBAL";"";"BEEMSTERSTRAAT";"Basketbal";"Schoolplein";"Hekwerk laag";"Asfalt";"Nee";"Basketbalveld, zitbanken naast veld";554;"Beemsterstraat.jpg";"POINT(4.950467 52.395322)";4.950467;52.395322;4,950467;52,395322;
8;"BASKETBAL";"";"HOUDRINGE";"Basketbal";"Schoolplein";"Hekwerk laag";"Asfalt";"Nee";"Basketbalveld met belijning, zitbanken naast veld";355;"Houdringe.jpg";"POINT(4.946211 52.400788)";4.946211;52.400788;4,946211;52,400788;
9;"BASKETBAL";"";"ELPERMEER";"Basketbal";"Plantsoen";"Geen";"Stoeptegels";"Nee";"Basketbalpaal, zitbanken naast veld, combi-veld";366;"Elpermeer.jpg";"POINT(4.946675 52.402848)";4.946675;52.402848;4,946675;52,402848;
10;"BASKETBAL";"";"CLEYNDERTWEG";"Basketbal";"Plantsoen";"Ballenvangers";"Asfalt";"Nee";"Basketbalveld met belijning";396;"Cleyndertweg.jpg";"POINT(4.936391 52.402648)";4.936391;52.402648;4,936391;52,402648;
11;"BASKETBAL";"";"IJPLEIN";"Basketbal";"Plantsoen";"Kooi open";"Asfalt";"Nee";"Basketbalveld, zitbanken naast veld";339;"IJplein_1.jpg";"POINT(4.910374 52.382953)";4.910374;52.382953;4,910374;52,382953;
12;"BASKETBAL";"";"SPREEUWENPARK";"Basketbal";"Plantsoen";"Geen";"Asfalt";"Nee";"Basketbalveld";158;"Spreeuwenpark_1.jpg";"POINT(4.914324 52.384362)";4.914324;52.384362;4,914324;52,384362;
