Postcode,Totaal allochtonen,Gemeentenaam,geometry
1011,3370,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.91382059861,52.3722088838,0 4.91253839481,52.3707243753,0 4.90635188671,52.3666819072,0 4.90157348883,52.3656755526,0 4.90029731477,52.3666391869,0 4.89861205217,52.3672802585,0 4.89569523481,52.3676214029,0 4.90114228897,52.3736746422,0 4.90170362777,52.3772621381,0 4.90374037927,52.3774142743,0 4.90471332937,52.3785614771,0 4.90538632234,52.3783934511,0 4.90645672546,52.378279164,0 4.90698936474,52.3785940968,0 4.91013950774,52.3783291099,0 4.91041242931,52.3779419409,0 4.91144004724,52.3778436143,0 4.91174705624,52.3760562971,0 4.91273967472,52.375793344,0 4.91382059861,52.3722088838,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1012,3555,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.90471332937,52.3785614771,0 4.90374037927,52.3774142743,0 4.90170362777,52.3772621381,0 4.90114228897,52.3736746422,0 4.89569523481,52.3676214029,0 4.89259596122,52.36720315,0 4.88981123034,52.3671528366,0 4.88814113959,52.3685182335,0 4.88791313553,52.369207529,0 4.88936347273,52.3744741443,0 4.89388160372,52.3791361004,0 4.89678115318,52.3816215572,0 4.89701019824,52.381495779,0 4.89899955151,52.3806330898,0 4.90423766889,52.3786799731,0 4.90471332937,52.3785614771,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1013,9465,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.89678115318,52.3816215572,0 4.89388160372,52.3791361004,0 4.89000920345,52.3797508413,0 4.88189030366,52.3843945719,0 4.88259263024,52.3859236767,0 4.88113588427,52.3857610749,0 4.87515231607,52.3858324222,0 4.87499669775,52.3869695914,0 4.87734611811,52.3880654422,0 4.87275040711,52.3902879973,0 4.84897765481,52.4005253885,0 4.86218947274,52.4122488744,0 4.86285409507,52.4119758967,0 4.86410554576,52.4127885199,0 4.86510058514,52.4122896004,0 4.85843961924,52.4065025635,0 4.8594714568,52.4059921712,0 4.86352217602,52.4090470778,0 4.86541777232,52.4080703942,0 4.86200421637,52.4050633168,0 4.86195016844,52.4046640247,0 4.86329930861,52.4042799341,0 4.86714413631,52.4072313476,0 4.86828878315,52.4066180158,0 4.86550911359,52.4041818343,0 4.86635311536,52.4038880564,0 4.86855528922,52.4056952512,0 4.86926718525,52.4053891901,0 4.86665571441,52.4030220765,0 4.86721797234,52.4028178294,0 4.87046456342,52.4055400192,0 4.87049407809,52.4077978481,0 4.86733754389,52.4100363458,0 4.86767140489,52.4110183634,0 4.87228990032,52.4079278991,0 4.87360609098,52.4067103923,0 4.87404014174,52.405776658,0 4.86527900216,52.401011768,0 4.85682115218,52.4043319963,0 4.85475002826,52.4025476394,0 4.86080932751,52.3997579821,0 4.85874002395,52.3978254044,0 4.86147940502,52.3965325828,0 4.86245323419,52.3964317452,0 4.86986974335,52.4002239142,0 4.87172177049,52.4005483541,0 4.87237997627,52.3999220796,0 4.87550160511,52.4025312436,0 4.87854332241,52.3957469695,0 4.8844997697,52.3910592616,0 4.88546485261,52.3932734238,0 4.88644442527,52.3930429909,0 4.88527365195,52.3908270665,0 4.89067907623,52.3902305995,0 4.88927394751,52.3935663184,0 4.89068153626,52.3934212345,0 4.8925498721,52.3883222544,0 4.89361384986,52.3884138739,0 4.89477704593,52.3849953078,0 4.89393498276,52.3850322481,0 4.8944064674,52.3835800032,0 4.89345620685,52.3834430274,0 4.89458965599,52.38308824,0 4.89596544805,52.3820693583,0 4.89678115318,52.3816215572,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1014,125,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.87734611811,52.3880654422,0 4.87499669775,52.3869695914,0 4.87515231607,52.3858324222,0 4.87291275085,52.3855378078,0 4.86111884547,52.3851939035,0 4.84493844879,52.3851451868,0 4.84450633107,52.3951276511,0 4.84558452314,52.396947202,0 4.84897765481,52.4005253885,0 4.87275040711,52.3902879973,0 4.87734611811,52.3880654422,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1015,5130,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.89388160372,52.3791361004,0 4.88936347273,52.3744741443,0 4.8842317464,52.3762257322,0 4.88294695931,52.3753035216,0 4.87549776902,52.3737175883,0 4.8752317783,52.3746250966,0 4.87971875359,52.381368116,0 4.87958363201,52.3821377828,0 4.88083414587,52.3825997116,0 4.88189030366,52.3843945719,0 4.89000920345,52.3797508413,0 4.89388160372,52.3791361004,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1016,4010,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.88936347273,52.3744741443,0 4.88791313553,52.369207529,0 4.88814113959,52.3685182335,0 4.88661145646,52.3681019357,0 4.88659431363,52.3675392318,0 4.87911436526,52.3648955342,0 4.87852912591,52.365998512,0 4.87746011572,52.3667776441,0 4.87683664705,52.3680071757,0 4.8758399366,52.3692584604,0 4.87457374073,52.3718423481,0 4.87460741811,52.3724860147,0 4.87578193002,52.373143602,0 4.87549776902,52.3737175883,0 4.88294695931,52.3753035216,0 4.8842317464,52.3762257322,0 4.88936347273,52.3744741443,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1017,4675,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.90459344713,52.3589408194,0 4.89899495748,52.3579687589,0 4.89755700042,52.3577776726,0 4.89287983796,52.3580656146,0 4.88907735831,52.3587606051,0 4.88687347516,52.3603619133,0 4.88504794807,52.3615962887,0 4.88208324338,52.3619117284,0 4.88074934139,52.363403386,0 4.87962355768,52.3641490403,0 4.87911436526,52.3648955342,0 4.88659431363,52.3675392318,0 4.88661145646,52.3681019357,0 4.88814113959,52.3685182335,0 4.88981123034,52.3671528366,0 4.89259596122,52.36720315,0 4.89569523481,52.3676214029,0 4.89861205217,52.3672802585,0 4.90029731477,52.3666391869,0 4.90157348883,52.3656755526,0 4.90459344713,52.3589408194,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1018,8395,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.93261748435,52.3692420044,0 4.93139576376,52.3663909042,0 4.92709030036,52.3665908543,0 4.92287254238,52.3637378684,0 4.92016428214,52.3634144434,0 4.91843775977,52.3620244109,0 4.91505631455,52.361651465,0 4.91148984266,52.3612884641,0 4.91037227796,52.3607761619,0 4.90755162577,52.3604178412,0 4.90459344713,52.3589408194,0 4.90157348883,52.3656755526,0 4.90635188671,52.3666819072,0 4.91253839481,52.3707243753,0 4.91382059861,52.3722088838,0 4.91273967472,52.375793344,0 4.91460653179,52.3763131078,0 4.92830153669,52.3734100244,0 4.93108981578,52.3725858415,0 4.93238483332,52.3713109761,0 4.93261748435,52.3692420044,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1019,6860,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.95594409714,52.3682543369,0 4.95467646438,52.3675522688,0 4.95181743361,52.3672847424,0 4.95047468043,52.3666165059,0 4.9392065188,52.3665600256,0 4.93139576376,52.3663909042,0 4.93261748435,52.3692420044,0 4.93238483332,52.3713109761,0 4.93108981578,52.3725858415,0 4.92830153669,52.3734100244,0 4.91460653179,52.3763131078,0 4.91273967472,52.375793344,0 4.91174705624,52.3760562971,0 4.91144004724,52.3778436143,0 4.91213835952,52.3777763139,0 4.91269217596,52.3787231403,0 4.93868131183,52.3745058487,0 4.9362083556,52.3766723731,0 4.91989050844,52.3795103258,0 4.91785698863,52.3793162387,0 4.91774799328,52.3799009047,0 4.92302449637,52.3805068024,0 4.93686274172,52.3780329013,0 4.93789692456,52.3778606712,0 4.93926328925,52.3778056302,0 4.9486486662,52.3780052339,0 4.9485740627,52.3766388318,0 4.93887887206,52.3761720136,0 4.94113985006,52.3741870852,0 4.94895150979,52.3751500733,0 4.94961140849,52.3736075325,0 4.93868836899,52.3722104215,0 4.93892680758,52.3717196981,0 4.95166794512,52.3729401401,0 4.95190850621,52.3723685097,0 4.95147490001,52.371813274,0 4.93889161606,52.3702617622,0 4.93655457922,52.3702034583,0 4.93598536974,52.3698642522,0 4.93460338684,52.3697466315,0 4.93473520361,52.3690595769,0 4.9532771077,52.3695136537,0 4.95304781268,52.3710380224,0 4.95520100788,52.3723392243,0 4.95594409714,52.3682543369,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1021,4275,Amsterdam,"<Polygon><outerBoundaryIs><LinearRing><coordinates>4.93187631941,52.3838000964,0 4.92861866705,52.3832159113,0 4.92773238272,52.3841247244,0 4.92655741774,52.3839745599,0 4.92720235294,52.3829713465,0 4.92558615978,52.3825992596,0 4.91766258566,52.3815866549,0 4.91417558181,52.3811943966,0 4.91303474895,52.3811601749,0 4.91400203868,52.3820421403,0 4.91721890799,52.3827065571,0 4.91666061647,52.3832750576,0 4.91294317506,52.3824441478,0 4.91179711583,52.3812504824,0 4.90820701688,52.3818435831,0 4.90660138928,52.3817346183,0 4.90570138224,52.3811629406,0 4.90451200714,52.3815409742,0 4.90358707441,52.381776273,0 4.90595650694,52.3832329425,0 4.91601279535,52.3877061005,0 4.91828438458,52.3897319481,0 4.92457911104,52.3873354262,0 4.92411583177,52.3869678177,0 4.93187631941,52.3838000964,0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
