"Bevolking en huishoudens; viercijferige postcode, 1 januari 2011"
"Onderwerpen";"Bevolking naar geslacht en leeftijd";"Bevolking naar geslacht en leeftijd";"Allochtonen naar herkomstgroepering";"Allochtonen naar herkomstgroepering";"Allochtonen naar herkomstgroepering";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Particuliere huishoudens: samenstelling";"Lokalisering van de postcode";"Lokalisering van de postcode"
"Onderwerpen";"Mannen";"Vrouwen";"Totaal allochtonen";"Westerse allochtoon";"Niet-westerse allochtoon";"Totaal particuliere huishoudens";"Eenpersoonshuishoudens";"Meerpersoonshuishoudens zonder kinderen";"Meerpersoonshuishoudens met kinderen";"Gemiddelde huishoudensgrootte";"Gemeentecode";"Gemeentenaam"
"Onderwerpen";"Totaal mannen";"Totaal vrouwen";"Totaal allochtonen";"Westerse allochtoon";"Niet-westerse allochtoon";"Totaal particuliere huishoudens";"Eenpersoonshuishoudens";"Meerpersoonshuishoudens zonder kinderen";"Meerpersoonshuishoudens met kinderen";"Gemiddelde huishoudensgrootte";"Gemeentecode";"Gemeentenaam"
"Postcodes op 1 januari";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code";"naam"
"1011, Amsterdam";"4715";"4280";"3365";"2260";"1100";"6035";"4075";"1115";"845";"1.49";"0363";"Amsterdam"
"1012, Amsterdam";"4585";"3435";"3530";"2210";"1325";"5610";"4035";"1145";"430";"1.37";"0363";"Amsterdam"
"1013, Amsterdam";"10535";"10645";"9340";"4235";"5110";"13060";"8250";"2390";"2425";"1.60";"0363";"Amsterdam"
"1014, Amsterdam";"145";"75";"95";"40";"55";"125";"100";"20";"10";"1.41";"0363";"Amsterdam"
"1015, Amsterdam";"7375";"7225";"5030";"3470";"1565";"9850";"6620";"1880";"1350";"1.48";"0363";"Amsterdam"
"1016, Amsterdam";"5590";"5095";"3970";"2780";"1185";"7165";"4825";"1485";"855";"1.46";"0363";"Amsterdam"
"1017, Amsterdam";"6520";"5855";"4615";"3275";"1345";"8140";"5335";"1785";"1020";"1.52";"0363";"Amsterdam"
"1018, Amsterdam";"10140";"10070";"8350";"4155";"4195";"12305";"7860";"2215";"2230";"1.59";"0363";"Amsterdam"
"1019, Amsterdam";"9145";"8885";"6855";"2905";"3945";"8855";"3760";"2170";"2925";"2.04";"0363";"Amsterdam"
"1021, Amsterdam";"3555";"3420";"4240";"730";"3515";"3695";"2005";"625";"1060";"1.89";"0363";"Amsterdam"
"1022, Amsterdam";"815";"780";"765";"215";"555";"800";"390";"155";"255";"1.99";"0363";"Amsterdam"
"1023, Amsterdam";"2160";"2390";"905";"465";"440";"2295";"950";"665";"680";"1.98";"0363";"Amsterdam"
"1024, Amsterdam";"5760";"6405";"8125";"1055";"7070";"5310";"2200";"960";"2145";"2.26";"0363";"Amsterdam"
"1025, Amsterdam";"7075";"7880";"6955";"1600";"5355";"7500";"3595";"1725";"2175";"1.97";"0363";"Amsterdam"
"1026, Amsterdam";"265";"240";"55";"45";"10";"200";"55";"75";"80";"2.44";"0363";"Amsterdam"
"1027, Amsterdam";"210";"200";"30";"15";"10";"180";"60";"65";"50";"2.31";"0363";"Amsterdam"
"1028, Amsterdam";"285";"290";"55";"40";"15";"235";"65";"75";"95";"2.48";"0363";"Amsterdam"
"1031, Amsterdam";"2665";"2525";"3070";"565";"2505";"2735";"1450";"510";"780";"1.90";"0363";"Amsterdam"
"1032, Amsterdam";"2300";"2450";"1810";"415";"1395";"2470";"1170";"520";"780";"1.92";"0363";"Amsterdam"
"1033, Amsterdam";"5460";"5850";"3355";"1015";"2340";"5900";"2830";"1380";"1695";"1.90";"0363";"Amsterdam"
"1034, Amsterdam";"6165";"6700";"7290";"1180";"6115";"5825";"2495";"1185";"2145";"2.19";"0363";"Amsterdam"
"1035, Amsterdam";"4615";"5050";"3190";"945";"2245";"4180";"1330";"1145";"1715";"2.31";"0363";"Amsterdam"
"1036, Amsterdam";"510";"480";"560";"70";"485";"340";"85";"40";"220";"2.91";"0363";"Amsterdam"
"1037, Amsterdam";"75";"60";"15";"5";"10";"65";"20";"25";"20";"2.09";"0363";"Amsterdam"
"1041, Amsterdam";"20";"10";"10";"10";"0";"20";"15";"10";"5";"1.52";"0363";"Amsterdam"
"1042, Amsterdam";"25";"10";"10";"5";"5";"25";"20";"5";"5";"1.50";"0363";"Amsterdam"
"1043, Amsterdam";"45";"15";"40";"20";"15";"50";"50";"0";"0";"1.15";"0363";"Amsterdam"
"1044, Amsterdam";"5";"0";"0";"0";"0";"5";"5";"0";"0";"1.50";"0363";"Amsterdam"
"1045, Amsterdam";"80";"50";"65";"60";"5";"95";"80";"0";"15";"1.30";"0363";"Amsterdam"
"1046, Amsterdam";"15";"10";"5";"5";"0";"15";"10";"5";"0";"1.20";"0363";"Amsterdam"
"1047, Amsterdam";"25";"20";"15";"15";"0";"20";"10";"5";"5";"1.96";"0363";"Amsterdam"
"1051, Amsterdam";"6285";"6285";"5475";"2205";"3275";"7525";"4590";"1335";"1605";"1.67";"0363";"Amsterdam"
"1052, Amsterdam";"5690";"5785";"4700";"2270";"2430";"7275";"4685";"1400";"1185";"1.56";"0363";"Amsterdam"
"1053, Amsterdam";"7520";"7440";"6500";"2755";"3745";"9925";"6670";"1755";"1500";"1.51";"0363";"Amsterdam"
"1054, Amsterdam";"7920";"8500";"5715";"3665";"2055";"10200";"6385";"2080";"1735";"1.60";"0363";"Amsterdam"
"1055, Amsterdam";"9800";"9860";"11815";"2440";"9375";"10935";"6125";"2260";"2545";"1.80";"0363";"Amsterdam"
"1056, Amsterdam";"8765";"9055";"8895";"2770";"6125";"10565";"6245";"2225";"2090";"1.69";"0363";"Amsterdam"
"1057, Amsterdam";"7970";"8195";"8800";"2455";"6350";"9350";"5400";"1910";"2040";"1.72";"0363";"Amsterdam"
"1058, Amsterdam";"6635";"7430";"5120";"2535";"2580";"8575";"5010";"2025";"1540";"1.64";"0363";"Amsterdam"
"1059, Amsterdam";"3030";"3215";"2650";"1230";"1420";"3885";"2385";"820";"680";"1.59";"0363";"Amsterdam"
"1060, Amsterdam";"5100";"5185";"5440";"1225";"4215";"3945";"1075";"845";"2020";"2.61";"0363";"Amsterdam"
"1061, Amsterdam";"5400";"5310";"9130";"720";"8410";"4430";"1900";"715";"1820";"2.42";"0363";"Amsterdam"
